"id","area","type","category","description","status","priority","progress","businessValueScore","roiProjection","costEstimate","maturityLevel_level","maturityLevel_score","maturityLevel_description","applicability_type","applicability_description","applicability_weight","implementationPhase","businessJustification","consequences_immediate","consequences_type","consequences_impact","assignee","dueDate","lastUpdated"
"SY-N034","System","Non-Functional","Access Control & Authentication","Access Control & Authentication requirement for system stakeholders focusing on non-functional aspects.","In Progress","Critical","55","4.8","66","96027","Defined","3","Documented and standardized","Future","Applicability assessment","0.037907245980360105","Phase 1 (0-6 months)","This access control & authentication capability provides critical operational benefits.","Potential security vulnerability","Security","Severe","Network Team","2025-07-24","2025-06-06"
"BU-N001","Business","Non-Functional","Monitoring & Detection","Monitoring & Detection requirement for business stakeholders focusing on non-functional aspects.","Not Started","Critical","96","4.7","120","525302","Defined","3","Documented and standardized","Conditional","Applicability assessment","0.5746235028482315","Phase 2 (6-12 months)","This monitoring & detection capability provides critical operational benefits.","Potential security vulnerability","Security","Moderate","Network Team","2026-02-15","2025-06-06"
"SY-N027","System","Non-Functional","Network Architecture & Design","Network Architecture & Design requirement for system stakeholders focusing on non-functional aspects.","Not Started","Medium","84","4.7","175","265509","Managed","4","Measured and controlled","Not Applicable","Applicability assessment","0.29520846359744346","Phase 1 (0-6 months)","This network architecture & design capability provides critical operational benefits.","Potential security vulnerability","Security","Significant","Operations Team","2026-03-06","2025-06-06"
"IN-N061","Infrastructure","Non-Functional","Access Control & Authentication","Access Control & Authentication requirement for infrastructure stakeholders focusing on non-functional aspects.","Completed","Medium","9","4.7","93","290635","Managed","4","Measured and controlled","Applicable","Applicability assessment","0.991637601870475","Phase 3 (12-24 months)","This access control & authentication capability provides critical operational benefits.","Potential security vulnerability","Security","Moderate","Network Team","2026-03-15","2025-06-06"
"US-F036","User","Functional","Network Architecture & Design","Network Architecture & Design requirement for user stakeholders focusing on functional aspects.","On Hold","Critical","96","4.6","193","270861","Initial","1","Ad-hoc, no formal process","Essential","Applicability assessment","0.7472642329819559","Phase 3 (12-24 months)","This network architecture & design capability provides critical operational benefits.","Potential security vulnerability","Security","Severe","Operations Team","2025-07-11","2025-06-06"
"US-F040","User","Functional","Secure Data Flow","Secure Data Flow requirement for user stakeholders focusing on functional aspects.","Under Review","Critical","36","4.6","191","251741","Initial","1","Ad-hoc, no formal process","Future","Applicability assessment","0.5375303971101895","Phase 1 (0-6 months)","This secure data flow capability provides critical operational benefits.","Potential security vulnerability","Security","Significant","Security Team","2025-06-16","2025-06-06"
"BU-F065","Business","Functional","Remote Access","Remote Access requirement for business stakeholders focusing on functional aspects.","On Hold","High","49","4.6","111","322432","Developing","2","Some processes defined","Conditional","Applicability assessment","0.34254751555360197","Phase 3 (12-24 months)","This remote access capability provides critical operational benefits.","Potential security vulnerability","Security","Significant","Network Team","2026-01-20","2025-06-06"
"SY-N055","System","Non-Functional","Monitoring & Detection","Monitoring & Detection requirement for system stakeholders focusing on non-functional aspects.","Completed","High","3","4.5","132","492891","Initial","1","Ad-hoc, no formal process","Future","Applicability assessment","0.03915307472009266","Phase 2 (6-12 months)","This monitoring & detection capability provides critical operational benefits.","Potential security vulnerability","Security","Severe","Network Team","2026-02-27","2025-06-06"
"BU-N062","Business","Non-Functional","Secure Data Flow","Secure Data Flow requirement for business stakeholders focusing on non-functional aspects.","Completed","Medium","84","4.4","232","135182","Defined","3","Documented and standardized","Conditional","Applicability assessment","0.6432481554166601","Phase 3 (12-24 months)","This secure data flow capability provides critical operational benefits.","Potential security vulnerability","Security","Minor","Operations Team","2026-04-10","2025-06-06"
"BU-N067","Business","Non-Functional","Device & Firmware Management","Device & Firmware Management requirement for business stakeholders focusing on non-functional aspects.","Not Started","Low","7","4.4","128","56994","Initial","1","Ad-hoc, no formal process","Future","Applicability assessment","0.6773339740709329","Phase 3 (12-24 months)","This device & firmware management capability provides critical operational benefits.","Potential security vulnerability","Security","Minor","Security Team","2025-11-23","2025-06-06"
"SY-F070","System","Functional","Access Control & Authentication","Access Control & Authentication requirement for system stakeholders focusing on functional aspects.","In Progress","Critical","25","4.4","164","129663","Managed","4","Measured and controlled","Conditional","Applicability assessment","0.7271875964250544","Phase 3 (12-24 months)","This access control & authentication capability provides critical operational benefits.","Potential security vulnerability","Security","Significant","Network Team","2025-12-05","2025-06-06"
"US-N006","User","Non-Functional","Secure Data Flow","Secure Data Flow requirement for user stakeholders focusing on non-functional aspects.","Completed","Low","92","4.3","84","71123","Defined","3","Documented and standardized","Essential","Applicability assessment","0.3036198494401382","Phase 2 (6-12 months)","This secure data flow capability provides critical operational benefits.","Potential security vulnerability","Security","Minor","Network Team","2026-01-13","2025-06-06"
"US-N009","User","Non-Functional","Monitoring & Detection","Monitoring & Detection requirement for user stakeholders focusing on non-functional aspects.","Not Started","High","46","4.1","172","304875","Defined","3","Documented and standardized","Conditional","Applicability assessment","0.33449129929043053","Phase 2 (6-12 months)","This monitoring & detection capability provides critical operational benefits.","Potential security vulnerability","Security","Significant","Identity Team","2025-06-07","2025-06-06"
"US-F030","User","Functional","Device & Firmware Management","Device & Firmware Management requirement for user stakeholders focusing on functional aspects.","Not Started","Low","9","4.1","213","364087","Developing","2","Some processes defined","Conditional","Applicability assessment","0.04526757625398459","Phase 2 (6-12 months)","This device & firmware management capability provides critical operational benefits.","Potential security vulnerability","Security","Moderate","Network Team","2025-09-30","2025-06-06"
