id,area,type,category,description,status,priority,progress,businessValueScore,roiProjection,costEstimate,maturityLevel_level,maturityLevel_score,maturityLevel_description,applicability_type,applicability_description,applicability_weight,implementationPhase,businessJustification,consequences_immediate,consequences_type,consequences_impact,assignee,dueDate,lastUpdated,cafPrinciple,cafPrinciple2,nisReference
BR-F1,Business,Functional,Network Architecture & Design,Implement network segmentation to isolate OT networks from IT networks and external threats.,On Hold,Critical,6,2.4,54,183195,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 1 (0-6 months),This network architecture & design supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(a) - Appropriate measures to prevent and minimise impact.,Regulatory exposure,Security,Severe,Compliance Team,22/12/2025,06/06/2025,B4: System security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(a) - Appropriate measures to prevent and minimise impact
BR-F2,Business,Functional,Secure Data Flow,Establish secure communication channels between different network segments while maintaining operational efficiency.,Not Started,Critical,71,4.9,251,182371,Developing,2,Some processes defined,Essential,Critical for operations,1,Future (24+ months),This secure data flow supports regulatory compliance and operational security. Mapped to B3: Data security. Addresses NIS Regulation 10(2)(b) - Appropriate measures to ensure service continuity.,Compliance gap,Compliance,Moderate,Identity Team,10/02/2026,06/06/2025,B3: Data security,B4: System security,NIS Regulation 10(2)(b) - Appropriate measures to ensure service continuity
BR-F3,Business,Functional,Access Control & Authentication,Implement access controls to restrict unauthorised lateral movement within the OT network.,Not Started,Critical,38,3.5,57,239154,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This access control & authentication supports regulatory compliance and operational security. Mapped to B3: Data security. Addresses NIS Regulation 10(2)(a) - Prevent unauthorised access.,Compliance gap,Operational,Significant,Compliance Team,06/09/2025,06/06/2025,B3: Data security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(a) - Prevent unauthorised access
BR-F4,Business,Functional,Monitoring & Detection,Enable comprehensive monitoring and logging capabilities to detect and respond to potential security incidents within the OT environment.,Under Review,Medium,25,4,152,132885,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This monitoring & detection supports regulatory compliance and operational security. Mapped to C1: Security monitoring. Addresses NIS Regulation 10(2)(c) - Appropriate measures to detect incidents.,Security vulnerability,Financial,Minor,Operations Team,07/10/2025,06/06/2025,C1: Security monitoring,C2: Proactive security event discovery,NIS Regulation 10(2)(c) - Appropriate measures to detect incidents
BR-F5,Business,Functional,Device & Firmware Management,Provide mechanisms to securely manage and update OT devices and systems without compromising network segmentation.,In Progress,Low,10,1.7,137,370311,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 1 (0-6 months),This device & firmware management supports regulatory compliance and operational security. Mapped to A3: Asset management. Addresses NIS Regulation 10(2)(d) - Maintaining security through lifecycle management.,Operational risk,Security,Significant,Operations Team,07/04/2026,06/06/2025,A3: Asset management,B4: System security,NIS Regulation 10(2)(d) - Maintaining security through lifecycle management
BR-F6,Business,Functional,Remote Access,Implement a secure remote access solution for authorized personnel to access OT systems when necessary.,Not Started,Low,50,3.6,80,354999,Developing,2,Some processes defined,Essential,Critical for operations,1,Future (24+ months),This remote access supports regulatory compliance and operational security. Mapped to B2: Identity and access control. Addresses NIS Regulation 10(2)(a) - Secure access controls.,Regulatory exposure,Financial,Significant,Compliance Team,07/03/2026,06/06/2025,B2: Identity and access control,B4: System security,NIS Regulation 10(2)(a) - Secure access controls
BR-F7,Business,Functional,Network Architecture & Design,Establish a demilitarized zone (DMZ) to securely interface between OT and IT networks where required.,Completed,Critical,30,4.2,216,492013,Developing,2,Some processes defined,Essential,Critical for operations,1,Phase 2 (6-12 months),This network architecture & design supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(a) - Appropriate technical measures.,Security vulnerability,Operational,Severe,Identity Team,03/12/2025,06/06/2025,B4: System security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(a) - Appropriate technical measures
BR-F8,Business,Functional,Secure Data Flow,Implement data flow controls to regulate and monitor the movement of data between network segments.,On Hold,High,38,4.3,216,505923,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 2 (6-12 months),This secure data flow supports regulatory compliance and operational security. Mapped to B3: Data security. Addresses NIS Regulation 10(2)(a) - Data flow protection.,Operational risk,Compliance,Severe,Compliance Team,16/02/2026,06/06/2025,B3: Data security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(a) - Data flow protection
BR-F9,Business,Functional,Incident Response,Provide the capability to isolate compromised systems quickly to prevent the spread of potential threats.,On Hold,Medium,7,2.6,46,487431,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This incident response supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Significant,Network Team,22/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F10,Business,Functional,Access Control & Authentication,Implement network-level authentication for all devices connecting to the OT network.,Not Started,Low,44,2.4,244,21740,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Phase 3 (12-24 months),This access control & authentication supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Significant,Network Team,16/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F11,Business,Functional,Integration Capabilities,Enable secure integration of cloud services and IoT devices with the OT network where necessary.,Completed,Critical,55,1.8,148,495260,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Significant,Compliance Team,02/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
BR-F12,Business,Functional,Device & Firmware Management,Implement protocol-specific security measures for industrial control system (ICS) protocols.,Under Review,Medium,75,2.3,138,448475,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 2 (6-12 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Moderate,Compliance Team,04/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
